0.028488	35.347	0.22391
0.050043	36.682	0.16683
0.052926	36.818	0.15576
0.070086	37.447	0.15847
0.062668	37.483	0.1561
0.087589	38.229	0.18775
0.078577	37.488	0.15564
0.017227	34.654	0.19934
0.042233	36.336	0.16717
0.045295	36.64	0.16498
0.03648	35.905	0.17017
0.019599	34.585	0.18469
0.10092	38.457	0.16733
0.027342	35.086	0.17551
0.074605	37.588	0.15977
0.026489	35.481	0.19131
0.049922	36.567	0.1623
0.030604	35.55	0.1733
0.016346	34.044	0.14291
0.015436	33.941	0.14869
0.030529	35.599	0.088751
0.024525	35.058	0.10244
0.023953	34.969	0.10704
0.026038	35.367	0.1085
0.048948	36.732	0.17255
0.024314	35.109	0.18166
0.015166	34.102	0.21524
0.03572	35.961	0.17119
0.048818	36.382	0.1603
0.02198	34.853	0.18754
0.1244	39.045	0.16427
0.036	35.821	0.16789
0.016321	34.017	0.20497
0.01673	34.226	0.20946
0.0275	35.65	0.17636
0.021793	34.974	0.23245
0.01645	34.181	0.2509
0.023208	35.086	0.23148
0.036457	36.134	0.21763
0.019264	34.953	0.24063
0.017605	34.344	0.27165
0.031528	35.729	0.22536
0.023536	35.17	0.2347
0.016743	34.003	0.24839
0.05371	36.476	0.2217
0.016991	34.379	0.30989
0.027865	35.093	0.22243
0.017173	34.261	0.24822
0.029955	35.972	0.22437
0.016559	34.344	0.25118
0.015	34.164	0.16145
0.0544	36.954	0.086095
0.1561	39.229	0.084144
0.0393	36.334	0.099101
0.1241	38.822	0.11161
0.1441	38.836	0.15678
0.1299	38.979	0.12944
0.0784	37.682	0.087217
0.0583	37.033	0.20626
0.0309	35.929	0.18369
0.0406	36.366	0.17232
0.0152	34.017	0.21507
0.0224	34.947	0.23901
0.016	34.174	0.22112
0.0362	35.987	0.17174
0.0173	34.25	0.21551
0.0312	35.627	0.18022
0.0221	34.912	0.18996
0.016	33.825	0.20796
0.0249	34.804	0.19352
0.0303	35.628	0.17675
0.0283	35.52	0.18012
0.0152	34.258	0.24147
0.0345	35.978	0.21156
0.036	35.679	0.17902
0.0248	35.256	0.18461
0.0292	35.993	0.17482
0.0163	34.453	0.21289
0.0187	35.048	0.1972
0.0195	34.757	0.19753
0.0256	35.685	0.18617
0.0337	35.844	0.17974
0.0546	36.61	0.17666
0.024	35.176	0.19551
0.0336	36.005	0.18852
0.0341	35.842	0.17522
0.0261	35.36	0.19247
0.0211	34.661	0.18839
0.0321	35.896	0.17385
0.0221	34.922	0.18901
0.0334	35.88	0.17577
0.0341	35.943	0.17283
0.0421	36.4	0.16993
0.0576	37.08	0.16185
0.0205	34.617	0.19141
0.0402	36.375	0.17064
0.026	35.381	0.18393
0.0259	35.416	0.17849
0.0239	35.035	0.18139
0.069	37.566	0.17616
0.0651	37.307	0.16281
0.0229	35.197	0.18546
0.0315	35.651	0.17099
0.0215	34.933	0.18704
0.0255	35.72	0.19617
0.0325	35.813	0.17039
0.0843	38.052	0.20025
0.0308	35.629	0.17837
0.0327	36.094	0.16949
0.0423	36.393	0.17158
0.0684	37.731	0.17059
0.0153	34.707	0.21324
0.0233	34.882	0.18342
0.0491	36.73	0.17584
0.0425	35.928	0.1953
0.0192	34.737	0.19784
0.0308	35.779	0.17331
0.0212	34.847	0.19153
0.0277	35.705	0.1833
0.0335	35.974	0.17049
0.0208	34.795	0.20163
0.0173	34.23	0.22099
0.036	36.146	0.177
0.0233	35.198	0.18574
0.0589	37.112	0.16568
0.0583	37.058	0.16809
0.0688	37.487	0.19803
0.0321	35.648	0.17503
0.0522	36.674	0.18912
0.0308	35.594	0.17249
0.0329	35.942	0.17039
